,req_words,title_words,tags_words,longtext_words,fault_words
aa,2,0,0,0,3096
aac,0,0,0,0,348
ab,0,0,0,0,3366
abc,2,0,0,0,370
ability,104,0,0,0,498
able,130,26,0,2870,1432
ac,0,0,0,0,3462
acc,2,0,0,2870,256
accept,80,0,0,0,1490
accepted,16,0,0,0,248
access,212,28,0,2870,2494
according,16,0,0,0,546
account,106,2,0,0,1188
acl,20,0,0,0,254
across,30,6,0,0,280
action,186,8,0,0,3612
actions,136,0,0,0,1710
active,116,10,0,0,2898
actual,36,0,0,0,3140
actually,30,2,0,0,930
ad,8,2,0,0,2928
adapter,10,6,0,0,446
add,1794,44,0,0,6928
added,130,0,0,0,2270
adding,142,36,0,0,846
addition,30,0,0,0,266
additional,86,0,0,0,1234
addr,10,0,0,0,726
address,232,36,0,0,4436
addresses,48,0,0,0,694
adds,22,0,0,0,434
admin,388,46,0,2870,8174
adminurl,0,0,0,0,314
ae,4,0,0,0,3106
af,8,0,0,0,3084
afd,4,0,0,0,416
aff,0,0,0,0,404
affected,4,0,0,0,400
affects,4,0,0,0,298
agent,702,12,0,0,13150
agents,72,0,0,0,754
aggregate,40,0,0,0,290
ahbmhk,0,0,0,0,250
alarm,118,14,0,0,1192
alembic,18,0,0,0,482
alive,10,4,0,0,532
allocate,20,4,0,0,428
allocated,30,0,0,0,328
allocation,62,0,0,0,390
allow,410,4,0,0,1944
allowed,82,0,0,0,996
allows,58,0,0,0,540
already,120,8,0,0,1964
also,42,8,0,2870,3672
although,10,0,0,0,284
always,124,0,0,0,1188
amd,4,0,0,0,574
ami,2,4,0,0,266
amount,24,0,0,0,246
amphora,30,0,0,0,244
amqp,28,4,0,0,882
amqpdriver,0,0,0,0,704
anon,0,0,0,0,1030
another,58,4,0,0,1256
ansible,76,18,10,0,1692
anything,14,4,0,0,314
aodh,52,0,0,0,832
apache,90,12,6,0,1444
api,1532,252,20,11480,28338
app,80,18,0,0,2326
appear,42,0,0,0,454
appears,36,0,0,0,676
application,42,4,0,0,3944
applied,36,0,0,0,360
apply,50,6,0,0,1284
approach,4,0,0,0,274
appropriate,26,0,0,0,418
apr,0,0,0,0,312
apt,48,0,2,0,922
architecture,34,10,2,0,460
archive,22,0,0,0,530
arg,14,0,0,0,332
args,44,0,0,0,7982
argument,126,4,0,0,928
arguments,82,4,2,0,882
argv,0,0,0,0,300
around,14,0,0,0,470
array,28,8,0,0,370
artifact,18,0,0,0,234
artifacts,34,0,0,0,244
ascii,36,0,0,0,270
ask,10,0,0,0,676
assert,10,0,0,0,398
assertequal,36,0,0,0,308
assertionerror,6,0,0,0,376
assertthat,0,0,0,0,334
assign,44,22,0,0,392
assigned,54,18,0,0,468
